stu_id,stu_name,email,k1_energy,k2_energy,k3_tick1,k3_tick2,my_pref,concerns
20312155,"GLADIOLUS, Acrocantho","AcrocanthoGLA@connect.ust.hk",79,70,0,0,"",""
20318297,"JASMINE, Theresa","TheresaJAS@connect.ust.hk",60,75,0,0,"",""
20319288,"CILANTRO, Ares","AresCIL@connect.ust.hk",61,75,0,0,"",""
20349600,"LAVENDER, Mercury","MercuryLAV@connect.ust.hk",48,80,0,0,"",""
20399150,"POPPY, Malasaura","MalasauraPOP@connect.ust.hk",61,55,0,0,"",""
20399688,"OREGANO, Demeter","DemeterORE@connect.ust.hk",37,80,0,0,"",""
20400353,"MUSTARDOR, Danoodle","DanoodleMUS@connect.ust.hk",46,65,1,0,"",""
20419591,"THYME, Hermesus","HermesusTHY@connect.ust.hk",67,85,0,0,"",""
20430575,"CARNATION, Pluto","PlutoCAR@connect.ust.hk",43,80,0,0,"",""
20440345,"MARJORAM, Ferret","FerretMAR@connect.ust.hk",72,75,0,0,"",""
20442059,"CINNAMON, Edward","EdwardCIN@connect.ust.hk",22,80,0,0,"",""
20454688,"ASPARAGUS, Rugops","RugopsASP@connect.ust.hk",67,55,0,0,"",""
20460302,"FENUGREEK, Chinook","ChinookFEN@connect.ust.hk",59,55,0,0,"",""
20464197,"COSTMARY, Pheoby","PheobyCOS@connect.ust.hk",91,50,0,0,"",""
20468854,"LEEKS, Akita","AkitaLEE@connect.ust.hk",61,85,0,0,"",""
20469457,"BASIL, Poseidon","PoseidonBAS@connect.ust.hk",45,80,0,0,"",""
20516624,"CELERIAC, Aesculapian","AesculapianCEL@connect.ust.hk",40,65,0,1,"",""
20531390,"ARTICHOKE, Shamosaurus","ShamosaurusART@connect.ust.hk",42,30,1,0,"",""
20540000,"CITRUS, Eoraptor","EoraptorCIT@connect.ust.hk",55,65,0,0,"",""
20555038,"CINNAMON, Bilby","BilbyCIN@connect.ust.hk",25,80,0,1,"",""
20556367,"ANAHEIM, James","JamesANA@connect.ust.hk",89,60,0,0,"",""
20557157,"DAFFODIL, Achillobator","AchillobatorDAF@connect.ust.hk",100,50,0,0,"",""
20557403,"TARRAGON, Shrimpid","ShrimpidTAR@connect.ust.hk",71,80,0,0,"",""
20558464,"BAYLEAF, Civet","CivetBAY@connect.ust.hk",25,75,0,0,"",""
20559978,"KOHLRABI, John","JohnKOH@connect.ust.hk",40,65,1,0,"",""
20562809,"HYACINTH, Jupiter","JupiterHYA@connect.ust.hk",10,80,0,0,"",""
20563934,"ALLSPICE, Beta","BetaALL@connect.ust.hk",18,80,0,0,"",""
20566809,"CHARD, Alabai","AlabaiCHA@connect.ust.hk",80,90,0,0,"",""
20568992,"OREGANO, Hera","HeraORE@connect.ust.hk",40,65,0,0,"",""
20570476,"FENUGREEK, Caracal","CaracalFEN@connect.ust.hk",68,65,0,0,"",""
20573007,"WASSABI, Linux","LinuxWAS@connect.ust.hk",61,75,0,0,"",""
20573574,"POPPY, Ankylosaurus","AnkylosaurusPOP@connect.ust.hk",20,70,0,0,"",""
20593320,"GLADIOLUS, Aegyptosaurus","AegyptosaurusGLA@connect.ust.hk",65,60,0,0,"",""
20598472,"SAFFRON, Dragonfly","DragonflySAF@connect.ust.hk",25,60,0,0,"",""
20600706,"BUTTERNUT, Becky","BeckyBUT@connect.ust.hk",45,65,1,0,"",""
20603796,"TULIP, Cristina","CristinaTUL@connect.ust.hk",95,30,0,0,"",""
20606077,"ASPARAGUS, Saichania","SaichaniaASP@connect.ust.hk",64,55,0,0,"",""
20619318,"HYSSOP, Bison","BisonHYS@connect.ust.hk",65,80,0,0,"",""
20627519,"SORREL, Dunnock","DunnockSOR@connect.ust.hk",56,70,0,0,"",""
20639035,"DAFFODIL, Achelosaurus","AchelosaurusDAF@connect.ust.hk",43,85,0,0,"",""
20639804,"SORREL, Hamster","HamsterSOR@connect.ust.hk",75,60,0,0,"",""
20665944,"PATTIPAN, Macaronie","MacaroniePAT@connect.ust.hk",53,50,1,0,"",""
20669337,"BASIL, Zeus","ZeusBAS@connect.ust.hk",67,50,0,0,"",""
20698330,"BURNEST, Susan","SusanBUR@connect.ust.hk",36,85,0,0,"",""
20704192,"BUTTERNUT, Burnold","BurnoldBUT@connect.ust.hk",61,65,0,0,"",""
20734171,"WASSABI, Python","PythonWAS@connect.ust.hk",79,60,0,0,"",""
20735374,"CHARD, Alusky","AluskyCHA@connect.ust.hk",69,75,0,0,"",""
20736370,"HYACINTH, Uranus","UranusHYA@connect.ust.hk",80,45,0,0,"",""
20746350,"SUNFLOWER, Giganotosaurus","GiganotosaurusSUN@connect.ust.hk",77,70,0,0,"",""
20748815,"THYME, Dionysus","DionysusTHY@connect.ust.hk",37,85,0,0,"",""
20751616,"ANEMONE, Agilisaurus","AgilisaurusANE@connect.ust.hk",61,75,0,0,"",""
20752084,"ANEMONE, Afrovenator","AfrovenatorANE@connect.ust.hk",69,60,0,0,"",""
20788232,"ALLSPICE, Sturgeon","SturgeonALL@connect.ust.hk",24,85,0,0,"",""
20792080,"ROSEMARY, Artemis","ArtemisROS@connect.ust.hk",61,30,0,0,"",""
20800756,"CHICORY, Tanius","TaniusCHI@connect.ust.hk",61,85,0,0,"",""
20811287,"TULIP, Saturn","SaturnTUL@connect.ust.hk",18,90,0,0,"",""
20815141,"BURNEST, Dennis","DennisBUR@connect.ust.hk",85,75,0,0,"",""
20822475,"BAYLEAF, Jacana","JacanaBAY@connect.ust.hk",29,65,1,0,"",""
20862795,"CHRYSANTHEMUM, Achillobator","AchillobatorCHR@connect.ust.hk",14,60,0,0,"",""
20879263,"JASMINE, Emily","EmilyJAS@connect.ust.hk",45,60,0,0,"",""
20889849,"PARSLEY, Apollo","ApolloPAR@connect.ust.hk",46,75,0,0,"",""
20890771,"SUNFLOWER, Gatonia","GatoniaSUN@connect.ust.hk",60,55,0,0,"",""
20911884,"PERUVIAN, Aardonyx","AardonyxPER@connect.ust.hk",69,60,0,0,"",""
20912449,"HOREBOUND, Philis","PhilisHOR@connect.ust.hk",75,70,0,0,"",""
20917274,"KOHLRABI, Anna","AnnaKOH@connect.ust.hk",72,75,0,0,"",""
20927052,"ARTICHOKE, Saichania","SaichaniaART@connect.ust.hk",63,55,0,0,"",""
20927610,"JICAMA, Gallimimus","GallimimusJIC@connect.ust.hk",77,85,0,0,"",""
20939985,"CILANTRO, Aphrodite","AphroditeCIL@connect.ust.hk",68,65,0,0,"",""
20959260,"CARNATION, Alexander","AlexanderCAR@connect.ust.hk",92,55,0,0,"",""
20972736,"PERUVIAN, Florestina","FlorestinaPER@connect.ust.hk",33,55,0,1,"",""
20987847,"JICAMA, Rinchenia","RincheniaJIC@connect.ust.hk",85,70,0,0,"",""
20990166,"MUSTARDOR, Zera","ZeraMUS@connect.ust.hk",47,65,0,0,"",""
